fldName,cmpLongName,fldCurrentActivitySatus,wlbName,wlbCompletionDate,fldMainArea,fldOwnerKind,fldOwnerName,fldMainSupplyBase,fldNpdidOwner,fldNpdidField,wlbNpdidWellbore,cmpNpdidCompany,fldFactPageUrl,fldFactMapUrl,fldDateUpdated,fldDateUpdatedMax,DatesyncNPD
EDDA,ConocoPhillips Skandinavia AS,Shut down, 2/7-4,03.09.1972,North sea,PRODUCTION LICENSE,018,,20900,43541,263,2410696,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=43541,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43541,28.04.2016,11.12.2018,20.02.2019
EDVARD GRIEG,Lundin Norway AS,Producing, 16/1-8,13.11.2007,North sea,PRODUCTION LICENSE,338,Tananger,2986578,21675433,5612,2767314,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=21675433,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=21675433,28.04.2016,09.03.2018,20.02.2019
EKOFISK,ConocoPhillips Skandinavia AS,Producing, 2/4-2,24.12.1969,North sea,PRODUCTION LICENSE,018,Tananger,20900,43506,172,2410696,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=43506,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43506,28.04.2016,11.12.2018,20.02.2019
ELDFISK,ConocoPhillips Skandinavia AS,Producing, 2/7-1,11.12.1970,North sea,PRODUCTION LICENSE,018,Tananger,20900,43527,179,2410696,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=43527,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43527,28.04.2016,18.12.2018,20.02.2019
EMBLA,ConocoPhillips Skandinavia AS,Producing, 2/7-20,25.06.1988,North sea,PRODUCTION LICENSE,018,Tananger,20900,43534,1062,2410696,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=43534,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43534,28.04.2016,11.12.2018,20.02.2019
ENOCH,Repsol Sinopec North Sea Limited,Producing, ?,,North sea,BUSINESS ARRANGEMENT AREA,ENOCH UNIT,,3437805,3437659,0,28222425,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=3437659,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=3437659,09.08.2018,09.08.2018,20.02.2019
FENJA,Neptune Energy Norge AS,Approved for production, 6406/12-3 S,26.04.2014,Norwegian sea,PRODUCTION LICENSE,586,Kristiansund,20109200,31164879,7322,31123361,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=31164879,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=31164879,09.12.2018,11.12.2018,20.02.2019
FLYNDRE,Total Oil UK Limited,Producing, 1/5-2,15.04.1974,North sea,BUSINESS ARRANGEMENT AREA,FLYNDRE UNIT,,29395339,24635035,238,32057045,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=24635035,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=24635035,15.01.2019,25.01.2019,20.02.2019
FRAM,Equinor Energy AS,Producing, 35/11-4,29.12.1990,North sea,PRODUCTION LICENSE,090,Mongstad,21524,1578840,1523,32011216,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=1578840,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=1578840,18.05.2018,18.05.2018,20.02.2019
FRAM H-NORD,Equinor Energy AS,Producing, 35/11-15 S,28.06.2007,North sea,BUSINESS ARRANGEMENT AREA,FRAM H-NORD UNIT,Mongstad,23410876,23410947,5517,32011216,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=23410947,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=23410947,18.05.2018,18.05.2018,20.02.2019
FRIGG,Equinor Energy AS,Shut down, 25/1-1,22.07.1971,North sea,PRODUCTION LICENSE,903,,28974935,43555,190,32011216,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=43555,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43555,21.11.2018,04.12.2018,20.02.2019
FRØY,Aker BP ASA,Shut down, 25/5-1,01.08.1987,North sea,PRODUCTION LICENSE,364,,3810636,43597,884,28544099,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=43597,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43597,17.05.2017,09.03.2018,20.02.2019
GAUPE,A/S Norske Shell,Shut down, 6/3-1,01.02.1985,North sea,PRODUCTION LICENSE,292,,2407572,18161341,450,562,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=18161341,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=18161341,15.01.2019,15.01.2019,20.02.2019
GIMLE,Equinor Energy AS,Producing, 34/10-48 S,22.12.2004,North sea,BUSINESS ARRANGEMENT AREA,GIMLE UNIT,Mongstad,4007192,4005142,4902,32011216,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=4005142,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=4005142,18.05.2018,18.05.2018,20.02.2019
GINA KROG,Equinor Energy AS,Producing, 15/5-1,08.04.1978,North sea,BUSINESS ARRANGEMENT AREA,GINA KROG UNIT,Dusavik,23412556,23384544,315,32011216,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=23384544,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=23384544,18.05.2018,18.05.2018,20.02.2019
GJØA,Neptune Energy Norge AS,Producing, 35/9-1,07.05.1989,North sea,PRODUCTION LICENSE,153,Florø,22036,4467574,1375,31123361,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=4467574,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=4467574,21.11.2018,04.12.2018,20.02.2019
GLITNE,Aker BP ASA,Shut down, 15/5-5,05.10.1995,North sea,PRODUCTION LICENSE,777 D,Dusavik,30977561,1272071,2635,28544099,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=1272071,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=1272071,22.03.2018,19.12.2018,20.02.2019
GOLIAT,Vår Energi AS,Producing, 7122/7-1,05.10.2000,Barents sea,PRODUCTION LICENSE,229,Hammerfest,22644,5774394,4173,33360957,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=5774394,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=5774394,11.12.2018,11.12.2018,20.02.2019
GRANE,Equinor Energy AS,Producing, 25/11-15,25.12.1991,North sea,BUSINESS ARRANGEMENT AREA,GRANE UNIT,Dusavik,1031365,1035937,1872,32011216,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=1035937,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=1035937,18.05.2018,18.05.2018,20.02.2019
GUDRUN,Equinor Energy AS,Producing, 15/3-1 S,06.07.1975,North sea,PRODUCTION LICENSE,025,Dusavik,34512,18116481,309,32011216,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=18116481,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=18116481,18.05.2018,18.05.2018,20.02.2019
GULLFAKS,Equinor Energy AS,Producing, 34/10-1,08.09.1978,North sea,PRODUCTION LICENSE,050,Mongstad,21188,43686,424,32011216,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=43686,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43686,18.05.2018,18.05.2018,20.02.2019
GULLFAKS SØR,Equinor Energy AS,Producing, 34/10-2,08.12.1978,North sea,PRODUCTION LICENSE,050,Mongstad,21188,43699,425,32011216,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=43699,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43699,18.05.2018,18.05.2018,20.02.2019
GUNGNE,Equinor Energy AS,Producing, 15/9-15,01.08.1982,North sea,PRODUCTION LICENSE,046,Dusavik,21156,43464,74,32011216,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=43464,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43464,18.05.2018,18.05.2018,20.02.2019
GYDA,Repsol Norge AS,Producing, 2/1-3,29.03.1980,North sea,PRODUCTION LICENSE,019 B,Tananger,20924,43492,251,27052812,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=43492,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43492,15.01.2019,15.01.2019,20.02.2019
HANZ,Aker BP ASA,Approved for production, 25/10-8,07.04.1997,North sea,PRODUCTION LICENSE,028 B,Tananger,917484,25307278,2955,28544099,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=25307278,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=25307278,24.11.2016,08.12.2018,20.02.2019
HEIDRUN,Equinor Energy AS,Producing, 6507/7-2,10.06.1985,Norwegian sea,BUSINESS ARRANGEMENT AREA,HEIDRUN UNIT,Kristiansund,40490,43771,464,32011216,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=43771,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43771,18.05.2018,11.12.2018,20.02.2019
HEIMDAL,Equinor Energy AS,Producing, 25/4-1,09.12.1972,North sea,PRODUCTION LICENSE,036 BS,Dusavik,2473189,43590,359,32011216,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=43590,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43590,18.05.2018,08.12.2018,20.02.2019
HOD,Aker BP ASA,Producing, 2/11-2,29.12.1974,North sea,PRODUCTION LICENSE,033,Tananger,21052,43485,285,28544099,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=43485,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43485,07.12.2016,09.03.2018,20.02.2019
HULDRA,Equinor Energy AS,Shut down, 30/2-1,12.10.1982,North sea,PRODUCTION LICENSE,878,Mongstad,28973861,97002,72,32011216,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=97002,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=97002,18.05.2018,23.05.2018,20.02.2019
HYME,Equinor Energy AS,Producing, 6407/8-5 S,26.05.2009,Norwegian sea,PRODUCTION LICENSE,348,Kristiansund,2987047,20474183,6110,32011216,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=20474183,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=20474183,18.05.2018,11.12.2018,20.02.2019
ISLAY,Total E&P UK Ltd,Producing, ?,,North sea,BUSINESS ARRANGEMENT AREA,ISLAY UNIT,,27122635,21105675,0,2747820,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=21105675,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=21105675,10.03.2017,09.03.2018,20.02.2019
IVAR AASEN,Aker BP ASA,Producing, 16/1-9,22.04.2008,North sea,BUSINESS ARRANGEMENT AREA,IVAR AASEN UNIT,Tananger,25307128,23384520,5773,28544099,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=23384520,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=23384520,28.12.2016,08.12.2018,20.02.2019
