dscName,dscReservesRC,dscRecoverableOil,dscRecoverableGas,dscRecoverableNGL,dscRecoverableCondensate,dscRecoverableOe,dscDateOffResEstDisplay,dscNpdidDiscovery,dscReservesDateUpdated,DatesyncNPD
 6407/2-5 S (Nona),7F,2.98,1.30,0.00,0.00,4.28,31.12.2018,17115700,,20.02.2019
 6407/2-6 S (Flyndretind),4F,0.29,1.20,0.37,0.00,2.19,31.12.2018,18104628,,20.02.2019
 6407/6-6 Mikkel Sør,4F,0.62,2.04,0.64,0.00,3.88,31.12.2018,4972665,,20.02.2019
 6407/7-8 (Noatun),5F,1.24,5.28,0.73,0.00,7.90,31.12.2018,5071896,,20.02.2019
 6407/7-9 S,5F,0.41,2.09,0.68,0.00,3.78,31.12.2018,28576505,,20.02.2019
 6506/11-10 (Hades-Iris),7F,0.00,18.10,0.00,4.20,22.30,31.12.2018,31164710,,20.02.2019
 6506/11-2 (Lange),5F,0.54,0.24,0.05,0.00,0.87,31.12.2018,44894,,20.02.2019
 6506/12-3 (Lysing),4F,2.06,0.34,0.06,0.00,2.52,31.12.2018,116294,18.02.2019,20.02.2019
 6506/9-2 S (Fogelberg),4F,1.42,7.57,0.72,0.00,10.36,31.12.2018,18086230,,20.02.2019
 6507/11-6 Sigrid,5F,0.36,1.92,0.33,0.00,2.91,31.12.2018,1630057,,20.02.2019
 6507/3-12 (Osprey),7F,0.20,1.13,0.00,0.00,1.33,31.12.2018,29382152,,20.02.2019
 6507/3-7 (Idun Nord),5F,0.07,1.47,0.17,0.00,1.87,31.12.2018,5818184,,20.02.2019
 6507/3-8 (Gjøk),4F,0.08,1.38,0.25,0.00,1.94,31.12.2018,17341840,,20.02.2019
 6507/7-13,4F,0.81,0.04,0.00,0.00,0.84,31.12.2018,1628221,,20.02.2019
 6507/8-9 (Carmen),5F,0.05,1.13,0.15,0.00,1.46,31.12.2018,29491636,18.02.2019,20.02.2019
 6604/5-1 (Balderbrå),7F,0.00,21.70,0.00,1.15,22.85,31.12.2018,31164612,,20.02.2019
 6607/12-2 S (Alve Nord),5F,1.28,4.65,0.52,0.00,6.91,31.12.2018,21104629,18.02.2019,20.02.2019
 6608/10-17 S (Cape Vulture),7F,5.74,1.10,0.00,0.00,6.84,31.12.2018,28975188,,20.02.2019
 6705/10-1 (Asterix),5F,0.00,16.82,0.00,0.29,17.11,31.12.2018,5466760,,20.02.2019
 6706/11-2 (Gymir),7F,0.00,1.30,0.00,0.00,1.30,31.12.2018,26376004,,20.02.2019
 6706/6-1 (Hvitveis),7F,0.00,7.50,0.00,0.00,7.50,31.12.2018,2450045,,20.02.2019
 6707/10-3 S (Ivory),7F,0.00,5.19,0.00,0.00,5.19,31.12.2018,25594096,,20.02.2019
 7/12-5 (Ula North),7F,1.91,0.00,0.05,0.00,2.01,31.12.2018,44978,,20.02.2019
 7/8-3 (Krabbe),7F,3.30,0.14,0.00,0.00,3.44,31.12.2018,44990,,20.02.2019
 7120/12-2 (Alke Sør),5F,0.00,10.70,0.98,0.41,12.97,31.12.2018,45002,,20.02.2019
 7120/1-3 (Gohta),5F,6.50,0.00,0.00,0.00,6.50,31.12.2018,23761885,18.02.2019,20.02.2019
 7121/5-2 (Snøhvit Beta),5F,0.00,2.10,0.07,0.19,2.42,31.12.2018,45050,,20.02.2019
 7122/6-1 (Tornerose),4F,0.00,3.69,0.00,0.09,3.78,31.12.2018,45068,,20.02.2019
 7219/12-1 (Filicudi),7F,3.14,0.00,0.00,0.00,3.14,31.12.2018,29346456,,20.02.2019
 7219/8-2 (Iskrystall),5F,0.00,2.27,0.00,0.11,2.38,31.12.2018,23762803,,20.02.2019
 7219/9-2 (Kayak),7F,5.53,0.00,0.00,0.00,5.53,31.12.2018,29447699,,20.02.2019
 7220/11-1 (Alta),5F,24.00,0.00,0.00,0.00,24.00,31.12.2018,25288497,,20.02.2019
 7220/4-1 (Kramsnø),5F,0.00,2.10,0.00,0.18,2.28,31.12.2018,24567434,,20.02.2019
 7220/5-3 (Skruis),7F,2.70,0.02,0.00,0.00,2.72,31.12.2018,33310096,,20.02.2019
 7220/6-2 R (Neiden),7F,2.89,0.57,0.00,0.00,3.46,31.12.2018,28608758,,20.02.2019
 7220/7-2 S (Skavl),5F,3.51,0.00,0.00,0.00,3.51,31.12.2018,23873319,,20.02.2019
 7324/8-1 (Wisting),5F,69.60,0.00,0.00,0.00,69.60,31.12.2018,23761893,18.02.2019,20.02.2019

