cmpLongName,fldName,cmpRemainingOil,cmpRemainingGas,cmpRemainingNGL,cmpRemainingCondensate,cmpRemainingOE,cmpDateOffResEstDisplay,cmpShare,fldNpdidField,cmpNpdidCompany,DatesyncNPD
A/S Norske Shell,GAUPE,0.00,0.00,0.00,0.00,0.00,31.12.2018,60.00000,18161341,562,20.02.2019
A/S Norske Shell,HULDRA,0.00,0.00,0.00,0.00,0.00,31.12.2018,30.00000,97002,562,20.02.2019
A/S Norske Shell,KNARR,0.79,0.01,0.01,0.00,0.82,31.12.2018,45.00000,20460988,562,20.02.2019
A/S Norske Shell,KVITEBJØRN,0.30,1.50,0.15,0.00,2.10,31.12.2018,6.45000,1036101,562,20.02.2019
A/S Norske Shell,ORMEN LANGE,0.00,17.64,0.00,0.84,18.48,31.12.2018,17.81340,2762452,562,20.02.2019
A/S Norske Shell,SINDRE,0.00,0.00,0.00,0.00,0.00,31.12.2018,3.23000,29401178,562,20.02.2019
A/S Norske Shell,TROLL,1.14,63.59,1.06,0.00,66.74,31.12.2018,8.10145,46437,562,20.02.2019
A/S Norske Shell,VALEMON,0.02,0.14,0.00,0.00,0.16,31.12.2018,3.22500,20460969,562,20.02.2019
Aker BP ASA,ALVHEIM,6.98,3.33,0.00,0.00,10.32,31.12.2018,65.00000,2845712,28544099,20.02.2019
Aker BP ASA,ATLA,0.00,0.00,0.00,0.00,0.00,31.12.2018,10.00000,21106284,28544099,20.02.2019
Aker BP ASA,BØYLA,0.51,0.01,0.00,0.00,0.53,31.12.2018,65.00000,22492497,28544099,20.02.2019
Aker BP ASA,ENOCH,0.00,0.00,0.00,0.00,0.00,31.12.2018,2.00000,3437659,28544099,20.02.2019
Aker BP ASA,FRØY,0.00,0.00,0.00,0.00,0.00,31.12.2018,90.26000,43597,28544099,20.02.2019
Aker BP ASA,GINA KROG,0.37,0.40,0.07,0.00,0.90,31.12.2018,3.30000,23384544,28544099,20.02.2019
Aker BP ASA,GLITNE,0.00,0.00,0.00,0.00,0.00,31.12.2018,40.00000,1272071,28544099,20.02.2019
Aker BP ASA,HANZ,0.80,0.13,0.02,0.00,0.97,31.12.2018,35.00000,25307278,28544099,20.02.2019
Aker BP ASA,HOD,0.49,0.06,0.01,0.00,0.57,31.12.2018,90.00000,43485,28544099,20.02.2019
