ptlName,cmpLongName,ptlLicenseeInterest,prlNpdidLicence,cmpNpdidCompany,ptlLicenseeDateUpdated,datesyncNPD
036 BS,Spirit Energy Norway AS,28.79800,2473189,33342085,06.12.2018,20.02.2019
036 BS,Equinor Energy AS,29.44300,2473189,32011216,17.05.2018,20.02.2019
036 C,ConocoPhillips Skandinavia AS,20.00000,2473241,2410696,,20.02.2019
036 C,Aker BP ASA,65.00000,2473241,28544099,06.10.2016,20.02.2019
036 C,Lundin Norway AS,15.00000,2473241,2767314,,20.02.2019
036 D,PGNiG Upstream Norway AS,24.24300,5081703,29394105,08.04.2017,20.02.2019
036 D,Equinor Energy AS,28.85300,5081703,32011216,17.05.2018,20.02.2019
036 D,Aker BP ASA,46.90400,5081703,28544099,06.10.2016,20.02.2019
036 E,LOTOS Exploration and Production Norge AS,16.00000,29468067,5064434,13.07.2017,20.02.2019
036 E,Aker BP ASA,64.00000,29468067,28544099,04.12.2018,20.02.2019
036 E,Petoro AS,20.00000,29468067,1626839,13.07.2017,20.02.2019
037,ExxonMobil Exploration and Production Norway AS,25.00000,21084,2835212,30.10.2015,20.02.2019
037,Equinor Energy AS,21.87500,21084,32011216,17.05.2018,20.02.2019
037,Spirit Energy Norway AS,23.12500,21084,33342085,06.12.2018,20.02.2019
037,Petoro AS,30.00000,21084,1626839,,20.02.2019
037 B,Petoro AS,30.00000,48081,1626839,,20.02.2019
037 B,Equinor Energy AS,51.00000,48081,32011216,17.05.2018,20.02.2019
037 B,OMV (Norge) AS,19.00000,48081,4460594,,20.02.2019
037 C,Wintershall Norge AS,100.00000,853671,21666830,,20.02.2019
037 E,Equinor Energy AS,51.00000,3000656,32011216,17.05.2018,20.02.2019
037 E,Petoro AS,30.00000,3000656,1626839,,20.02.2019
037 E,OMV (Norge) AS,19.00000,3000656,4460594,,20.02.2019
038 C,Petoro AS,30.00000,4005057,1626839,,20.02.2019
038 C,Repsol Norge AS,70.00000,4005057,27052812,08.10.2015,20.02.2019
038 D,Petoro AS,30.00000,5500999,1626839,,20.02.2019
038 D,OKEA AS,55.00000,5500999,27432899,23.11.2018,20.02.2019
038 D,Chrysaor Norge AS,15.00000,5500999,32035996,,20.02.2019
040,Petoro AS,30.00000,21108,1626839,,20.02.2019
040,Equinor Energy AS,70.00000,21108,32011216,17.05.2018,20.02.2019
043,Equinor Energy AS,70.00000,21132,32011216,17.05.2018,20.02.2019
043,Petoro AS,30.00000,21132,1626839,,20.02.2019
043 BS,Petoro AS,30.00000,3811810,1626839,,20.02.2019
043 BS,Equinor Energy AS,70.00000,3811810,32011216,17.05.2018,20.02.2019
043 CS,Total E&P Norge AS,100.00000,18116800,2410708,,20.02.2019
043 DS,Total E&P Norge AS,100.00000,18116829,2410708,,20.02.2019
043 ES,Equinor Energy AS,70.00000,30977735,32011216,17.05.2018,20.02.2019
043 ES,Petoro AS,30.00000,30977735,1626839,,20.02.2019
044,Total E&P Norge AS,15.00000,21140,2410708,,20.02.2019
044,ConocoPhillips Skandinavia AS,41.88000,21140,2410696,,20.02.2019
044,Vår Energi AS,13.12000,21140,33360957,11.12.2018,20.02.2019
044,PGNiG Upstream Norway AS,30.00000,21140,29394105,29.12.2018,20.02.2019
046,Equinor Energy AS,62.00000,21156,32011216,17.05.2018,20.02.2019
046,ExxonMobil Exploration and Production Norway AS,13.00000,21156,2835212,01.01.2016,20.02.2019
046,KUFPEC Norway AS,10.00000,21156,23750622,07.04.2017,20.02.2019
046,LOTOS Exploration and Production Norge AS,15.00000,21156,5064434,07.04.2017,20.02.2019
046 E,LOTOS Exploration and Production Norge AS,28.00000,25611579,5064434,07.04.2017,20.02.2019
046 E,KUFPEC Norway AS,10.00000,25611579,23750622,07.04.2017,20.02.2019
046 E,Equinor Energy AS,62.00000,25611579,32011216,17.05.2018,20.02.2019
046 F,KUFPEC Norway AS,10.00000,27159953,23750622,07.04.2017,20.02.2019
046 F,LOTOS Exploration and Production Norge AS,28.00000,27159953,5064434,07.04.2017,20.02.2019
046 F,Equinor Energy AS,62.00000,27159953,32011216,17.05.2018,20.02.2019
048,Equinor Energy AS,78.20000,21172,32011216,17.05.2018,20.02.2019
048,KUFPEC Norway AS,21.80000,21172,23750622,01.12.2017,20.02.2019
048 D,Faroe Petroleum Norge AS,9.30000,3489553,4062883,,20.02.2019
048 D,Aker BP ASA,10.00000,3489553,28544099,06.10.2016,20.02.2019
048 D,CapeOmega AS,21.80000,3489553,31044668,16.03.2018,20.02.2019
048 D,Equinor Energy AS,58.90000,3489553,32011216,17.05.2018,20.02.2019
048 E,KUFPEC Norway AS,21.80000,18450020,23750622,07.04.2017,20.02.2019
048 E,Equinor Energy AS,78.20000,18450020,32011216,17.05.2018,20.02.2019
050,Equinor Energy AS,51.00000,21188,32011216,17.05.2018,20.02.2019
050,Petoro AS,30.00000,21188,1626839,,20.02.2019
050,OMV (Norge) AS,19.00000,21188,4460594,,20.02.2019
050 B,OMV (Norge) AS,19.00000,21196,4460594,,20.02.2019
050 B,Petoro AS,30.00000,21196,1626839,,20.02.2019
050 B,Equinor Energy AS,51.00000,21196,32011216,17.05.2018,20.02.2019
050 C,Petoro AS,30.00000,102490,1626839,,20.02.2019
050 C,Equinor Energy AS,51.00000,102490,32011216,17.05.2018,20.02.2019
050 C,OMV (Norge) AS,19.00000,102490,4460594,,20.02.2019
050 D,OMV (Norge) AS,19.00000,4237912,4460594,,20.02.2019
050 D,Petoro AS,30.00000,4237912,1626839,,20.02.2019
050 D,Equinor Energy AS,51.00000,4237912,32011216,17.05.2018,20.02.2019
050 DS,Equinor Energy AS,70.00000,4380141,32011216,17.05.2018,20.02.2019
050 DS,Petoro AS,30.00000,4380141,1626839,,20.02.2019
050 ES,Petoro AS,30.00000,21668200,1626839,,20.02.2019
050 ES,Equinor Energy AS,57.00000,21668200,32011216,17.05.2018,20.02.2019
050 ES,Spirit Energy Norway AS,13.00000,21668200,33342085,06.12.2018,20.02.2019
050 FS,Petoro AS,30.00000,21668235,1626839,,20.02.2019
050 FS,Equinor Energy AS,57.00000,21668235,32011216,17.05.2018,20.02.2019
050 FS,Spirit Energy Norway AS,13.00000,21668235,33342085,06.12.2018,20.02.2019
050 GS,Spirit Energy Norway AS,13.00000,21668262,33342085,06.12.2018,20.02.2019
050 GS,Petoro AS,30.00000,21668262,1626839,,20.02.2019
050 GS,Equinor Energy AS,57.00000,21668262,32011216,17.05.2018,20.02.2019
050 HS,Petoro AS,30.00000,21668287,1626839,,20.02.2019
050 HS,Equinor Energy AS,57.00000,21668287,32011216,17.05.2018,20.02.2019
050 HS,Spirit Energy Norway AS,13.00000,21668287,33342085,06.12.2018,20.02.2019
