prlName,prlLicensingActivityName,prlMainArea,prlStatus,prlStratigraphical,prlDateGranted,prlDateValidTo,prlOriginalArea,prlCurrentArea,prlPhaseCurrent,prlNpdidLicence,prlFactPageUrl,prlFactMapUrl,prlDateUpdated,prlDateUpdatedMax,DatesyncNPD
212,15,Norwegian sea,ACTIVE,NO,02.02.1996,02.02.2033,856.240,218.110,PRODUCTION,22508,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=22508,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=22508,23.05.2018,23.05.2018,20.02.2019
212 B,Awarded additionally to round 15,Norwegian sea,ACTIVE,NO,14.06.2002,02.02.2033,64.927,22.616,PRODUCTION,2092275,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=2092275,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=2092275,23.05.2018,23.05.2018,20.02.2019
212 C,Awarded additionally to round 15,Norwegian sea,INACTIVE,NO,07.02.2005,01.01.2010,114.232,0.000,,3371954,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=3371954,,01.08.2016,01.08.2016,20.02.2019
212 D,TFO2006,Norwegian sea,INACTIVE,NO,16.02.2007,01.01.2010,81.890,0.000,,4238684,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=4238684,,01.08.2016,07.09.2017,20.02.2019
212 E,Awarded additionally to round 15,Norwegian sea,ACTIVE,NO,23.01.2008,02.02.2033,42.311,42.311,PRODUCTION,4966902,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=4966902,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=4966902,23.05.2018,23.05.2018,20.02.2019
213,15,Norwegian sea,INACTIVE,NO,02.02.1996,31.12.2010,416.977,0.000,,22516,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=22516,,29.04.2016,29.04.2016,20.02.2019
214,15,Norwegian sea,INACTIVE,NO,02.02.1996,23.03.1999,831.040,0.000,,22524,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=22524,,29.04.2016,29.04.2016,20.02.2019
215,15,Norwegian sea,INACTIVE,NO,02.02.1996,02.02.2006,1621.677,0.000,,22532,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=22532,,29.04.2016,29.04.2016,20.02.2019
216,15,Norwegian sea,INACTIVE,NO,02.02.1996,01.02.2002,407.494,0.000,,22540,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=22540,,25.04.2018,25.04.2018,20.02.2019
217,15,Norwegian sea,INACTIVE,NO,02.02.1996,07.07.2005,504.180,0.000,,22548,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=22548,,29.04.2016,29.04.2016,20.02.2019
