wlbnpdidwellbore,wlbWellName,wlbWellboreName,wlbField,wlbProductionLicence,wlbWellType,wlbDrillingOperator,wlbMultilateral,wlbDrillingFacility,wlbProductionFacility,wlbEntryDate,wlbCompletionDate,wlbContent,wlbStatus,wlbSymbol,wlbPurpose,wlbWaterDepth,wlbFactPageUrl,wlbFactMapUrl,wlbDiscoveryWellbore,wlbPointGeometryWKT
4606,"35/11-A-11","35/11-A-11 H","FRAM","090","DEVELOPMENT","Norsk Hydro Produksjon AS","NO","DEEPSEA DELTA","FRAM A1",2002-08-05 00:00:00+02,2002-11-13 00:00:00+01,"OIL","ONLINE/OPERATIONAL",50,"PRODUCTION",357.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=4606","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=4606","NO","POINT(3.516369 61.084786)"
4270,"6506/12-S-4","6506/12-S-4 AH","ÅSGARD","094","DEVELOPMENT","Den norske stats oljeselskap a.s","NO","TRANSOCEAN WINNER","ÅSGARD S",2001-04-14 00:00:00+02,2001-04-27 00:00:00+02,"OIL","PLUGGED",50,"PRODUCTION",304.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=4270","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=4270","NO","POINT(6.945967 65.016067)"
8608,"7121/1-2","7121/1-2 S",,"767 ","EXPLORATION","Lundin Norway AS","NO","LEIV EIRIKSSON",,2019-01-06 00:00:00+01,,,"DRILLING",80,"WILDCAT",315.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=8608","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=8608","NO","POINT(21.125147 71.794)"
2802,"34/7-I-3","34/7-I-3 AH","TORDIS","089","DEVELOPMENT","Saga Petroleum ASA","NO","SCARABEO 5","34/7-I-3 H TORDIS I-3",1996-04-27 00:00:00+02,1996-07-01 00:00:00+02,"NOT APPLICABLE","PLUGGED",99,"OBSERVATION",200.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=2802","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=2802","NO","POINT(2.117114 61.276178)"
4621,"6407/5-B-3","6407/5-B-3 H","MIKKEL","121","DEVELOPMENT","Statoil ASA (old)","NO","TRANSOCEAN SEARCHER","MIKKEL B",2002-10-16 00:00:00+02,2002-11-09 00:00:00+01,"GAS","ONLINE/OPERATIONAL",90,"PRODUCTION",228.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=4621","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=4621","NO","POINT(7.663525 64.647119)"
4305,"34/7-P-11","34/7-P-11 A","SNORRE","089","DEVELOPMENT","Norsk Hydro Produksjon AS","NO","SNORRE A","SNORRE A",2001-04-26 00:00:00+02,2001-05-10 00:00:00+02,"WATER","ONLINE/OPERATIONAL",173,"INJECTION",309.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=4305","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=4305","NO","POINT(2.143486 61.449189)"
8658,"25/1-13","25/1-13",,"871 ","EXPLORATION","Wellesley Petroleum AS","NO","TRANSOCEAN ARCTIC",,,,,,80,"WILDCAT",109.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=8658","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=8658","NO","POINT(2.276956 59.820961)"
4592,"6507/7-A-42","6507/7-A-42 A","HEIDRUN","095","DEVELOPMENT","Statoil ASA (old)","NO","HEIDRUN","HEIDRUN",2002-09-12 00:00:00+02,2002-09-19 00:00:00+02,"OIL","PLUGGED",50,"PRODUCTION",345.600000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=4592","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=4592","NO","POINT(7.317444 65.325681)"
3247,"31/2-P-41","31/2-P-41","TROLL","054","DEVELOPMENT","Norsk Hydro Produksjon AS","NO","POLAR PIONEER","TROLL P2",1997-10-30 00:00:00+01,1997-11-14 00:00:00+01,"NOT APPLICABLE","PLUGGED",99,"OBSERVATION",338.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=3247","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=3247","NO","POINT(3.52265 60.886517)"
1061,"2/8-A-28","2/8-A-28","VALHALL","006","DEVELOPMENT","Amoco Norway Oil Company","NO","VALHALL","VALHALL DP",1992-07-02 00:00:00+02,1992-09-19 00:00:00+02,"OIL","PLUGGED",50,"PRODUCTION",69.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1061","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=1061","NO","POINT(3.395531 56.278028)"
1352,"34/10-A-19","34/10-A-19","GULLFAKS","050","DEVELOPMENT","Den norske stats oljeselskap a.s","NO","GULLFAKS A","GULLFAKS A",1988-11-05 00:00:00+01,1988-12-04 00:00:00+01,"OIL","PLUGGED",50,"PRODUCTION",134.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1352","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=1352","NO","POINT(2.189719 61.176081)"
7527,"7324/9-1","7324/9-1",,"614","EXPLORATION","Statoil Petroleum AS","NO","TRANSOCEAN SPITSBERGEN",,2014-07-22 00:00:00+02,2014-08-07 00:00:00+02,"GAS","P&A",9,"WILDCAT",414.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=7527","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=7527","YES","POINT(24.840067 73.3248)"
8389,"34/4-C-6","34/4-C-6 BH","SNORRE","057","DEVELOPMENT","Statoil Petroleum AS","NO","SNORRE B","34/4-C H",2018-03-14 00:00:00+01,,,"SUSPENDED",81,"PRODUCTION",347.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=8389","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=8389","NO","POINT(2.211294 61.525142)"
3079,"6506/12-L-1","6506/12-L-1 H","ÅSGARD","094","DEVELOPMENT","Den norske stats oljeselskap a.s","NO","TRANSOCEAN SEARCHER","ÅSGARD L",1997-04-15 00:00:00+02,1997-06-21 00:00:00+02,"OIL","CLOSED",50,"PRODUCTION",285.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=3079","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=3079","NO","POINT(6.782589 65.138303)"
1755,"30/6-C-27","30/6-C-27 H","OSEBERG","053","DEVELOPMENT","Norsk Hydro Produksjon AS","NO","TRANSOCEAN 8","OSEBERG C",1991-04-03 00:00:00+02,1991-05-05 00:00:00+02,"NOT APPLICABLE","PLUGGED",99,"OBSERVATION",108.0,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1755","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=1755","NO","POINT(2.719256 60.541011)"
4628,"25/11-G-18","25/11-G-18","GRANE","169 B1","DEVELOPMENT","Norsk Hydro Produksjon AS","NO","SCARABEO 6","GRANE",2002-10-29 00:00:00+01,2002-11-19 00:00:00+01,"OIL","PLUGGED",50,"PRODUCTION",127.500000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=4628","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=4628","NO","POINT(2.487342 59.165244)"
3248,"2/4-X-31","2/4-X-31","EKOFISK","018","DEVELOPMENT","Phillips Petroleum Company Norway","NO","EKOFISK X","EKOFISK X",1997-11-25 00:00:00+01,1997-12-27 00:00:00+01,"OIL","CLOSED",50,"PRODUCTION",76.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=3248","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=3248","NO","POINT(3.218961 56.547719)"
8398,"33/12-B-27","33/12-B-27 B","STATFJORD","037","DEVELOPMENT","Statoil Petroleum AS","NO","STATFJORD B","STATFJORD B",2018-04-01 00:00:00+02,2018-04-30 00:00:00+02,"OIL/GAS","ONLINE/OPERATIONAL",81,"PRODUCTION",144.500000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=8398","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=8398","NO","POINT(1.830867 61.206678)"
1851,"2/1-A-26","2/1-A-26","GYDA","019 B","DEVELOPMENT","BP Norway Limited U.A.","NO","GYDA","GYDA",1992-08-03 00:00:00+02,1992-09-12 00:00:00+02,"OIL","CLOSED",50,"PRODUCTION",66.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1851","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=1851","NO","POINT(3.085081 56.904792)"
3107,"6506/12-L-3","6506/12-L-3 H","ÅSGARD","094","DEVELOPMENT","Den norske stats oljeselskap a.s","NO","TRANSOCEAN ARCTIC","ÅSGARD L",1998-07-13 00:00:00+02,1998-08-11 00:00:00+02,"OIL","CLOSED",50,"PRODUCTION",289.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=3107","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=3107","NO","POINT(6.782636 65.138286)"
3333,"31/5-I-23","31/5-I-23 AH","TROLL","085","DEVELOPMENT","Norsk Hydro Produksjon AS","NO","POLAR PIONEER","TROLL I2",1998-04-13 00:00:00+02,1998-04-30 00:00:00+02,"OIL","PLUGGED",50,"PRODUCTION",317.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=3333","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=3333","NO","POINT(3.577531 60.728572)"
2700,"33/9-C-41","33/9-C-41","STATFJORD","037","DEVELOPMENT","Den norske stats oljeselskap a.s","NO","STATFJORD C","STATFJORD C",1995-11-15 00:00:00+01,1995-12-29 00:00:00+01,"OIL","PLUGGED",50,"PRODUCTION",146.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=2700","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=2700","NO","POINT(1.902764 61.2963)"
4775,"31/5-I-13","31/5-I-13 Y2H","TROLL","085","DEVELOPMENT","Norsk Hydro Produksjon AS","YES","POLAR PIONEER","TROLL I1",2003-08-31 00:00:00+02,2003-10-02 00:00:00+02,"OIL","PLUGGED",50,"PRODUCTION",317.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=4775","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=4775","NO","POINT(3.581664 60.741044)"
3267,"33/9-C-19","33/9-C-19 A","STATFJORD","037","DEVELOPMENT","Den norske stats oljeselskap a.s","NO","STATFJORD C","STATFJORD C",1997-11-16 00:00:00+01,1998-01-07 00:00:00+01,"DRY","PLUGGED",81,"PRODUCTION",145.600000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=3267","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=3267","NO","POINT(1.903014 61.296639)"
3636,"30/6-C-27","30/6-C-27 AH","OSEBERG","053","DEVELOPMENT","Norsk Hydro Produksjon AS","NO","TRANSOCEAN 8","OSEBERG C",1991-05-07 00:00:00+02,1991-06-10 00:00:00+02,"OIL","PLUGGED",50,"PRODUCTION",108.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=3636","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=3636","NO","POINT(2.719256 60.541011)"
4579,"35/11-A-12","35/11-A-12 H","FRAM","090","DEVELOPMENT","Norsk Hydro Produksjon AS","NO","DEEPSEA DELTA","FRAM A1",2002-07-25 00:00:00+02,2002-08-31 00:00:00+02,"NOT APPLICABLE","PLUGGED",99,"OBSERVATION",357.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=4579","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=4579","NO","POINT(3.516436 61.084822)"
2937,"25/11-A-6","25/11-A-6 H","BALDER","001","DEVELOPMENT","Esso Exploration and Production Norway A/S","NO","WEST ALPHA","25/11-A-6 H",1996-09-23 00:00:00+02,1997-07-19 00:00:00+02,"OIL","PLUGGED",50,"PRODUCTION",126.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=2937","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=2937","NO","POINT(2.360392 59.191203)"
8622,"7122/7-U-10","7122/7-U-10",,"229 ","OTHER","Eni Norge AS","NO","WEST HERCULES",,,,,,0,"SHALLOW GAS",379.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=8622",,"NO","POINT(22.255122 71.292342)"
4776,"31/5-I-13","31/5-I-13 Y3H","TROLL","085","DEVELOPMENT","Norsk Hydro Produksjon AS","YES","POLAR PIONEER","TROLL I1",2003-10-03 00:00:00+02,2003-10-24 00:00:00+02,"OIL","PLUGGED",50,"PRODUCTION",317.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=4776","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=4776","NO","POINT(3.581664 60.741044)"
3281,"30/9-B-20","30/9-B-20 A","OSEBERG","079","DEVELOPMENT","Norsk Hydro Produksjon AS","NO","OSEBERG B","OSEBERG B",1997-11-29 00:00:00+01,1997-12-12 00:00:00+01,"GAS","ONLINE/OPERATIONAL",91,"INJECTION",109.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=3281","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=3281","NO","POINT(2.828497 60.493375)"
4580,"35/11-A-12","35/11-A-12 AH","FRAM","090","DEVELOPMENT","Norsk Hydro Produksjon AS","NO","DEEPSEA DELTA","FRAM A1",2002-09-19 00:00:00+02,2002-10-22 00:00:00+02,"OIL","ONLINE/OPERATIONAL",50,"PRODUCTION",357.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=4580","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=4580","NO","POINT(3.516436 61.084822)"
1971,"33/9-C-24","33/9-C-24","STATFJORD","037","DEVELOPMENT","Den norske stats oljeselskap a.s","NO","STATFJORD C","STATFJORD C",1992-05-31 00:00:00+02,1992-08-08 00:00:00+02,"OIL","ONLINE/OPERATIONAL",50,"PRODUCTION",146.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1971","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=1971","NO","POINT(1.902867 61.296369)"
3083,"25/11-A-6","25/11-A-6 AH","BALDER","001","DEVELOPMENT","Esso Exploration and Production Norway A/S","NO","DEEPSEA BERGEN","25/11-A-6 H",2001-05-19 00:00:00+02,2001-06-06 00:00:00+02,"OIL","ONLINE/OPERATIONAL",50,"PRODUCTION",127.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=3083","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=3083","NO","POINT(2.360392 59.191203)"
3352,"2/7-B-5","2/7-B-5 C","ELDFISK","018","DEVELOPMENT","Phillips Petroleum Company Norway","NO","ELDFISK B","ELDFISK B",1997-11-01 00:00:00+01,1997-11-15 00:00:00+01,"OIL","PLUGGED",50,"PRODUCTION",71.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=3352","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=3352","NO","POINT(3.218394 56.419331)"
4777,"31/5-I-13","31/5-I-13 Y4H","TROLL","085","DEVELOPMENT","Norsk Hydro Produksjon AS","YES","POLAR PIONEER",,,,,"WILL NEVER BE DRILLED",0,,317.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=4777","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=4777","NO","POINT(3.581664 60.741044)"
3583,"34/7-P-36","34/7-P-36","SNORRE","089","DEVELOPMENT","Saga Petroleum ASA","NO","SNORRE A","SNORRE A",1998-10-10 00:00:00+02,1998-11-20 00:00:00+01,"WATER","PLUGGED",173,"INJECTION",309.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=3583","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=3583","NO","POINT(2.143781 61.449478)"
4793,"30/9-F-26","30/9-F-26","OSEBERG SØR","104","DEVELOPMENT","Norsk Hydro Produksjon AS","NO","OSEBERG SØR","OSEBERG SØR",2003-07-24 00:00:00+02,2003-08-31 00:00:00+02,"WATER","PLUGGED",173,"INJECTION",101.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=4793","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=4793","NO","POINT(2.797072 60.390133)"
857,"34/10-A-3","34/10-A-3 H","GULLFAKS","050","DEVELOPMENT","Den norske stats oljeselskap a.s","NO","DEEPSEA BERGEN","GULLFAKS A",1985-11-29 00:00:00+01,1986-01-27 00:00:00+01,"OIL","PLUGGED",50,"PRODUCTION",139.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=857","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=857","NO","POINT(2.2116 61.187294)"
8653,"8/10-7","8/10-7 A",,"405 ","EXPLORATION","Spirit Energy Norway AS","NO","MAERSK INTERCEPTOR",,,,,"WILL NEVER BE DRILLED",80,"WILDCAT",66.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=8653","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=8653","NO","POINT(3.05875 57.115225)"
1975,"30/6-C-1","30/6-C-1","OSEBERG","053","DEVELOPMENT","Norsk Hydro Produksjon AS","NO","OSEBERG C","OSEBERG C",1992-06-03 00:00:00+02,1992-08-31 00:00:00+02,"WATER","CLOSED",173,"INJECTION",108.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1975","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=1975","NO","POINT(2.775972 60.608244)"
4599,"2/7-A-21","2/7-A-21 B","ELDFISK","018","DEVELOPMENT","Phillips Petroleum Company Norway","NO","ELDFISK A","ELDFISK A",2002-08-28 00:00:00+02,2002-10-03 00:00:00+02,"OIL","PLUGGED",50,"PRODUCTION",70.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=4599","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=4599","NO","POINT(3.265706 56.376689)"
5089,"2/4-M-22","2/4-M-22","EKOFISK","018","DEVELOPMENT","ConocoPhillips Skandinavia AS","NO","MÆRSK GALLANT","EKOFISK M",2005-03-29 00:00:00+02,2005-04-22 00:00:00+02,"OIL","PLUGGED",50,"PRODUCTION",78.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=5089","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=5089","NO","POINT(3.223242 56.545389)"
1980,"2/1-A-15","2/1-A-15","GYDA","019 B","DEVELOPMENT","BP Norway Limited U.A.","NO","GYDA","GYDA",1992-06-24 00:00:00+02,1992-07-26 00:00:00+02,"OIL","ONLINE/OPERATIONAL",50,"PRODUCTION",66.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1980","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=1980","NO","POINT(3.085139 56.904858)"
3591,"31/2-S-13","31/2-S-13 H","TROLL","054","DEVELOPMENT","Norsk Hydro Produksjon AS","NO","WEST VANGUARD","TROLL S1",1998-11-28 00:00:00+01,1998-12-16 00:00:00+01,"NOT APPLICABLE","PLUGGED",99,"OBSERVATION",343.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=3591","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=3591","NO","POINT(3.654642 60.895089)"
6011,"7223/5-1","7223/5-1 A",,"228","EXPLORATION","StatoilHydro Petroleum AS","NO","POLAR PIONEER",,,,,"WILL NEVER BE DRILLED",80,"APPRAISAL",332.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=6011","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=6011","NO","POINT(23.335483 72.53505)"
4610,"25/11-G-28","25/11-G-28","GRANE","169 B1","DEVELOPMENT","Norsk Hydro Produksjon AS","NO","SCARABEO 6","GRANE",2002-08-20 00:00:00+02,2002-10-22 00:00:00+02,"OIL","CLOSED",50,"PRODUCTION",127.500000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=4610","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=4610","NO","POINT(2.487472 59.165247)"
868,"2/8-A-21","2/8-A-21","VALHALL","006","DEVELOPMENT","Amoco Norway Oil Company","NO","VALHALL","VALHALL DP",1986-02-08 00:00:00+01,1986-03-12 00:00:00+01,"NOT APPLICABLE","JUNKED",81,"PRODUCTION",69.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=868","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=868","NO","POINT(3.395483 56.278081)"
3054,"34/10-C-36","34/10-C-36 A","GULLFAKS","050","DEVELOPMENT","Den norske stats oljeselskap a.s","NO","GULLFAKS C","GULLFAKS C",1997-05-30 00:00:00+02,1997-08-31 00:00:00+02,"OIL","CLOSED",50,"PRODUCTION",216.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=3054","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=3054","NO","POINT(2.274108 61.215214)"
4618,"33/9-C-41","33/9-C-41 A","STATFJORD","037","DEVELOPMENT","Statoil ASA (old)","NO","STATFJORD C","STATFJORD C",2002-10-10 00:00:00+02,2002-10-27 00:00:00+02,"OIL","PLUGGED",50,"PRODUCTION",146.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=4618","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=4618","NO","POINT(1.902764 61.2963)"
8318,"6604/5-1","6604/5-1",,"894","EXPLORATION","Wintershall Norge AS","NO","WEST PHOENIX",,2018-01-10 00:00:00+01,2018-03-22 00:00:00+01,"GAS","P&A",9,"WILDCAT",1219.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=8318","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=8318","YES","POINT(4.549042 66.593731)"
7537,"30/4-A-3","30/4-A-3","MARTIN LINGE","043","DEVELOPMENT","Total E&P Norge AS","NO","MAERSK INTREPID","MARTIN LINGE A",2014-09-23 00:00:00+02,2015-02-09 00:00:00+01,"OIL","PLUGGED",99,"OBSERVATION",115.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=7537","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=7537","NO","POINT(2.014883 60.506211)"
1039,"2/8-A-15","2/8-A-15 A","VALHALL","006","DEVELOPMENT","Amoco Norway Oil Company","NO","VALHALL","VALHALL DP",1987-02-11 00:00:00+01,1987-03-03 00:00:00+01,"OIL","PLUGGED",50,"PRODUCTION",69.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1039","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=1039","NO","POINT(3.395517 56.278008)"
7602,"30/11-10","30/11-10 A",,"035","EXPLORATION","Statoil Petroleum AS","NO","TRANSOCEAN LEADER",,2014-12-28 00:00:00+01,2015-02-13 00:00:00+01,"OIL","P&A",5,"APPRAISAL",104.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=7602","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=7602","NO","POINT(2.510322 60.234519)"
3592,"31/2-S-13","31/2-S-13 AH","TROLL","054","DEVELOPMENT","Norsk Hydro Produksjon AS","NO","WEST VANGUARD","TROLL S1",1998-12-18 00:00:00+01,1999-01-19 00:00:00+01,"OIL","CLOSED",50,"PRODUCTION",343.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=3592","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=3592","NO","POINT(3.654642 60.895089)"
1981,"25/2-C-1","25/2-C-1 AH","LILLE-FRIGG","026","DEVELOPMENT","Elf Petroleum Norge AS","NO","MÆRSK JUTLANDER","LILLE-FRIGG",1992-06-30 00:00:00+02,1992-08-26 00:00:00+02,"GAS","P&A",90,"PRODUCTION",112.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1981","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=1981","NO","POINT(2.390792 59.961625)"
