wlbnpdidwellbore,wlbWellName,wlbWellboreName,wlbField,wlbProductionLicence,wlbWellType,wlbDrillingOperator,wlbMultilateral,wlbDrillingFacility,wlbProductionFacility,wlbEntryDate,wlbCompletionDate,wlbContent,wlbStatus,wlbSymbol,wlbPurpose,wlbWaterDepth,wlbFactPageUrl,wlbFactMapUrl,wlbDiscoveryWellbore,wlbPointGeometryWKT
6463,"2/4-K-14","2/4-K-14 A","EKOFISK","018","DEVELOPMENT","ConocoPhillips Skandinavia AS","NO","EKOFISK K","EKOFISK K",,,,"WILL NEVER BE DRILLED",82,"INJECTION",74.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=6463","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=6463","NO","POINT(3.206367 56.565569)"
6465,"30/3-A-13","30/3-A-13 BY1","VESLEFRIKK","052","DEVELOPMENT","Statoil Petroleum AS","YES","VESLEFRIKK A","VESLEFRIKK A",2011-01-14 00:00:00+01,2011-02-02 00:00:00+01,"OIL","ONLINE/OPERATIONAL",50,"PRODUCTION",175.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=6465","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=6465","NO","POINT(2.897822 60.782714)"
6466,"6407/7-A-8","6407/7-A-8 AH","NJORD","107","DEVELOPMENT","Statoil Petroleum AS","NO","NJORD A","NJORD A",2010-10-13 00:00:00+02,2010-11-20 00:00:00+01,"OIL","CLOSED",50,"PRODUCTION",330.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=6466","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=6466","NO","POINT(7.202411 64.270903)"
6468,"7119/12-4","7119/12-4",,"488","EXPLORATION","Statoil Petroleum AS","NO","POLAR PIONEER",,2011-01-12 00:00:00+01,2011-02-17 00:00:00+01,"DRY","P&A",1,"WILDCAT",192.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=6468","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=6468","NO","POINT(19.822378 71.028586)"
6639,"25/8-U-23","25/8-U-23",,"169 C","OTHER","Det norske oljeselskap ASA","NO","BUCENTAUR",,,,,,0,"SOIL DRILLING",126.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=6639",,"NO","POINT(2.368333 59.403611)"
6469,"3/7-A-1","3/7-A-1 AH","TRYM","147","DEVELOPMENT","DONG E&P Norge AS","NO","MÆRSK GIANT","TRYM",2010-10-21 00:00:00+02,2010-11-19 00:00:00+01,"GAS/CONDENSATE","ONLINE/OPERATIONAL",170,"PRODUCTION",65.400000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=6469","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=6469","NO","POINT(4.237433 56.381911)"
6470,"2/4-B-2","2/4-B-2 C","EKOFISK","018","DEVELOPMENT","ConocoPhillips Skandinavia AS","NO","MÆRSK GALLANT","EKOFISK B",2010-12-15 00:00:00+01,2011-05-08 00:00:00+02,"OIL","ONLINE/OPERATIONAL",50,"PRODUCTION",73.200000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=6470","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=6470","NO","POINT(3.203911 56.565231)"
6471,"2/8-G-8","2/8-G-8 A","VALHALL","006 B","DEVELOPMENT","BP Norge AS","NO","VALHALL IP","VALHALL IP",2009-12-24 00:00:00+01,2010-05-13 00:00:00+02,"OIL","ONLINE/OPERATIONAL",50,"PRODUCTION",72.700000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=6471","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=6471","NO","POINT(3.396403 56.276494)"
6473,"7/12-U-1","7/12-U-1",,"450","OTHER","Det norske oljeselskap ASA","NO","BUCENTAUR",,,,,,0,"SOIL DRILLING",70.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=6473",,"NO","POINT(2.857694 57.021861)"
6474,"7/12-U-2","7/12-U-2",,"450","OTHER","Det norske oljeselskap ASA","NO","BUCENTAUR",,,,,,0,"SOIL DRILLING",70.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=6474",,"NO","POINT(2.857389 57.022417)"
6476,"3/8-1","3/8-1",,"400","EXPLORATION","Lundin Norway AS","NO","MÆRSK GUARDIAN",,2010-10-29 00:00:00+02,2010-12-29 00:00:00+01,"DRY","P&A",1,"WILDCAT",65.500000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=6476","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=6476","NO","POINT(4.418694 56.454703)"
6477,"35/1-U-2","35/1-U-2",,"269","OTHER","Statoil Petroleum AS","NO","TRANSOCEAN LEADER",,2010-08-24 00:00:00+02,2010-09-12 00:00:00+02,,"P&A",0,"SHALLOW GAS",409.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=6477",,"NO","POINT(3.055528 61.865653)"
6478,"7120/12-5","7120/12-5",,"489","EXPLORATION","Eni Norge AS","NO","POLAR PIONEER",,2010-10-17 00:00:00+02,2011-01-03 00:00:00+01,"DRY","P&A",1,"WILDCAT",187.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=6478","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=6478","NO","POINT(20.915269 71.199422)"
6481,"34/11-A-1","34/11-A-1 A","KVITEBJØRN","193","DEVELOPMENT","Statoil Petroleum AS","NO","KVITEBJØRN","KVITEBJØRN",,,,,81,"PRODUCTION",190.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=6481","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=6481","NO","POINT(2.499761 61.08025)"
6482,"2/1-A-25","2/1-A-25 A","GYDA","019 B","DEVELOPMENT","Talisman Energy Norge AS","NO","GYDA","GYDA",2011-01-31 00:00:00+01,2011-05-06 00:00:00+02,"OIL","CLOSED",50,"PRODUCTION",65.500000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=6482","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=6482","NO","POINT(3.085106 56.904775)"
6483,"31/2-O-23","31/2-O-23 Y2H","TROLL","054","DEVELOPMENT","Statoil Petroleum AS","YES","SONGA TRYM","TROLL O2",2010-11-20 00:00:00+01,2010-12-03 00:00:00+01,"OIL","CLOSED",50,"PRODUCTION",338.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=6483","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=6483","NO","POINT(3.522864 60.915117)"
8569,"30/6-30","30/6-30",,"825 ","EXPLORATION","Faroe Petroleum Norge AS","NO","TRANSOCEAN ARCTIC",,2018-10-19 00:00:00+02,2018-11-18 00:00:00+01,"GAS/CONDENSATE","P&A",17,"WILDCAT",120.0,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=8569","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=8569","YES","POINT(2.734286 60.718531)"
