fldName,fldRecoverableOil,fldRecoverableGas,fldRecoverableNGL,fldRecoverableCondensate,fldRecoverableOE,fldRemainingOil,fldRemainingGas,fldRemainingNGL,fldRemainingCondensate,fldRemainingOE,fldDateOffResEstDisplay,fldNpdidField,DatesyncNPD
VISUND,40.93,59.10,7.16,0.00,113.63,7.28,39.72,4.87,0.00,56.25,31.12.2018,43745,20.02.2019
VISUND SØR,2.71,5.85,0.83,0.00,10.14,0.27,1.63,0.24,0.00,2.36,31.12.2018,20461008,20.02.2019
VOLUND,12.77,1.66,0.00,0.00,14.43,2.58,0.52,0.00,0.00,3.10,31.12.2018,4380167,20.02.2019
VOLVE,10.17,0.94,0.16,0.09,11.50,0.00,0.00,0.00,0.00,0.00,31.12.2018,3420717,20.02.2019
YME,18.07,0.00,0.00,0.00,18.07,10.17,0.00,0.00,0.00,10.17,31.12.2018,43807,20.02.2019
YTTERGRYTA,0.29,2.22,0.41,0.00,3.29,0.00,0.00,0.00,0.00,0.00,31.12.2018,4973114,20.02.2019
ÆRFUGL,6.77,34.53,3.86,0.00,48.63,5.75,30.10,3.36,0.00,42.23,31.12.2018,33310197,20.02.2019
ØST FRIGG,0.00,9.22,0.00,0.07,9.29,0.00,0.00,0.00,0.00,0.00,31.12.2018,43576,20.02.2019
ÅSGARD,105.06,221.15,41.32,17.11,421.83,7.31,40.06,7.87,0.00,62.32,31.12.2018,43765,20.02.2019
AASTA HANSTEEN,0.00,54.40,0.00,0.64,55.04,0.00,54.36,0.00,0.61,54.97,31.12.2018,23395946,20.02.2019

